Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
14064,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""1857988094""","=""9781857988093""",4,4.06,Millennium,Paperback,160,1999,1954,,2014/09/04,,,read,,,,1,,,0,,,,,
22550,"The Gunslinger (The Dark Tower, #1)",Stephen King,"King, Stephen",,"=""0670032549""","=""9780670032549""",3,3.94,Viking,Hardcover,231,2003,1982,,2014/09/04,,,read,,,,1,,,0,,,,,
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",4,3.99,Penguin ROC,Mass Market Paperback,355,2000,2000,,2014/09/04,,,read,,,,1,,,0,,,,,
91477,"Fool Moon (The Dresden Files, #2)",Jim Butcher,"Butcher, Jim",,"=""0451458125""","=""9780451458124""",4,4.00,Roc,Mass Market Paperback,401,2001,2001,,2014/09/04,,,read,,,,1,,,0,,,,,
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",0,4.09,Signet,Mass Market Paperback,370,1999,1979,,2014/09/04,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
67035,"Relic (Pendergast, #1)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0765354942""","=""9780765354945""",0,4.04,Tor Books,Paperback,480,2005,1995,,2014/09/04,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
12109463,"Wired (Wired, #1)",Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,3.86,Paragon Press,Kindle Edition,340,2011,2005,,2014/09/04,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
8100267,"Pathfinder (Pathfinder, #1)",Orson Scott Card,"Card, Orson Scott",,"=""141699176X""","=""9781416991762""",0,4.00,Margaret K. McElderry Books,Hardcover,657,2010,2010,,2014/09/04,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",0,4.13,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,2014/09/04,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
18966322,"Mitosis (The Reckoners, #1.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0449818438""","=""9780449818435""",4,3.86,Delacorte Press,ebook,55,2013,2013,,2014/09/04,,,read,,,,1,,,0,,,,,
